Designator,Mid X,Mid Y,Rotation,Layer
R10,241.45,-153.075,90.0,bottom
R11_2,305.254998,-147.595002,90.0,bottom
R11,238.1,-153.075,270.0,bottom
R12_2,322.804998,-118.945002,0.0,top
R12,235.1,-118.775,90.0,top
R13_2,283.204998,-105.645002,90.0,bottom
R13,268.25,-108.65,90.0,bottom
R14_2,279.854998,-105.695002,90.0,bottom
R14,264.775,-108.65,90.0,bottom
R15_2,280.554999,-120.045002,0.0,bottom
R15,265.85,-117.325,0.0,bottom
R17_2,280.554998,-125.895002,0.0,bottom
R17,265.85,-123.175,0.0,bottom
R2_2,291.504998,-133.045002,0.0,top
R2,259.7,-124.475,270.0,top
R3_2,281.404998,-145.445002,0.0,top
R3,261.65,-144.725,180.0,top
R4_2,284.449998,-140.042501,180.0,top
R4,261.75,-139.875,180.0,top
R5_2,284.449998,-142.242501,0.0,top
R5,261.75,-142.075,0.0,top
R6_2,298.905,-139.145003,180.0,top
R6,249.7,-140.575,0.0,top
R7_2,298.904998,-143.395002,180.0,top
R7,249.7,-136.325,0.0,top
R8_2,298.904999,-136.945002,180.0,top
R8,249.7,-142.775,0.0,top
R9_2,295.254998,-134.645002,270.0,top
R9,254.35,-145.925,90.0,top
RESET_BTN1_2,277.249998,-153.092499,270.0,bottom
RESET_BTN1,268.95,-152.924998,90.0,bottom
SC1,330.104998,-118.895002,75.0,top
SHIFTERC1,221.9,-119.675,0.0,top
SW1_2,450.479998,-113.245002,0.0,top
SW1,96.05,-113.775,0.0,top
SW10_2,431.429998,-144.201252,0.0,top
SW10,115.1,-144.73125,0.0,top
SW11_2,412.379998,-141.820002,0.0,top
SW11,134.15,-142.35,0.0,top
SW12_2,393.329998,-139.438752,0.0,top
SW12,153.2,-139.96875,0.0,top
SW13_2,374.279998,-137.057502,0.0,top
SW13,172.25,-137.5875,0.0,top
SW14_2,355.229998,-139.438752,0.0,top
SW14,191.3,-139.96875,0.0,top
SW15_2,336.179998,-141.820002,0.0,top
SW15,210.35,-142.35,0.0,top
SW16_2,317.129998,-144.201252,0.0,top
SW16,229.4,-144.73125,0.0,top
SW17_2,452.861248,-163.251252,0.0,top
SW17,93.66875,-163.78125,0.0,top
SW18_2,431.429998,-163.251252,0.0,top
SW18,115.1,-163.78125,0.0,top
SW19_2,412.379998,-160.870002,0.0,top
SW19,134.15,-161.4,0.0,top
SW2_2,431.429998,-113.245002,0.0,top
SW2,115.1,-113.775,0.0,top
SW20_2,393.329998,-158.488752,0.0,top
SW20,153.2,-159.01875,0.0,top
SW21_2,374.279998,-156.107502,0.0,top
SW21,172.25,-156.6375,0.0,top
SW22_2,355.229998,-158.488752,0.0,top
SW22,191.3,-159.01875,0.0,top
SW23_2,336.179998,-160.870002,0.0,top
SW23,210.35,-161.4,0.0,top
SW24_2,317.129998,-163.251252,0.0,top
SW24,229.4,-163.78125,0.0,top
SW25_2,455.242498,-182.301252,0.0,top
SW25,91.2875,-182.83125,0.0,top
SW26_2,431.429998,-182.301252,0.0,top
SW26,115.1,-182.83125,0.0,top
SW27_2,412.379998,-179.920002,0.0,top
SW27,134.15,-180.45,0.0,top
SW28_2,393.329998,-177.538752,0.0,top
SW28,153.2,-178.06875,0.0,top
SW29_2,374.279998,-175.157502,0.0,top
SW29,172.25,-175.6875,0.0,top
SW3_2,412.379998,-113.245002,0.0,top
SW3,134.15,-113.775,0.0,top
SW30_2,355.229998,-177.538752,0.0,top
SW30,191.3,-178.06875,0.0,top
SW31_2,336.179998,-179.920002,0.0,top
SW31,210.35,-180.45,0.0,top
SW32_2,317.129998,-182.301252,0.0,top
SW32,229.4,-182.83125,0.0,top
SW33_2,457.623748,-201.351252,0.0,top
SW33,88.90625,-201.88125,0.0,top
SW34_2,431.429998,-201.351252,0.0,top
SW34,115.1,-201.88125,0.0,top
SW35_2,412.379998,-198.970002,0.0,top
SW35,134.15,-199.5,0.0,top
SW36_2,393.329998,-196.588752,0.0,top
SW36,153.2,-197.11875,0.0,top
SW37_2,374.279998,-194.207502,0.0,top
SW37,172.25,-194.7375,0.0,top
SW38_2,355.229998,-196.588752,0.0,top
SW38,191.3,-197.11875,0.0,top
